complaint_id,customer_id,order_id,complaint_text,complaint_date,fraud_score,fraud_classification,refund_applicable,fraud_reason,Issue_Type,Issue_Severity,Sentiment,Urgency,Computed_Fraud_Score,Computed_Fraud_Class,Computed_Refund_Applicable,Computed_Fraud_Reason
CMP-356,C-008,O-356,why is this not same black 😡,2026-05-06,91,Fraud,No,Ambiguous contradiction,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-009,C-009,O-009,Mouse completely stopped working after 1 day,2026-04-01,6,Legitimate,Yes,Hardware defect,Device not working,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-247,C-009,O-247,box looked new but device has scratches,2026-04-25,94,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,95,Fraud,No,Switcheroo suspected
CMP-347,C-009,O-347,it works but i dont like it,2026-05-05,19,Fraud,No,Change of mind,Other,Low,Negative,Normal,18,Fraud,No,Change of mind
CMP-010,C-010,O-010,Charger burnt smell and not working,2026-04-01,5,Legitimate,Yes,Severe defect,Battery issue,High,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-163,C-010,O-163,device overheating while charging,2026-04-17,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-164,C-010,O-164,wrong item delivered again 😡,2026-04-17,93,Fraud,No,Unverified mismatch,Other,Low,Negative,Normal,90,Fraud,No,Unverified mismatch
CMP-238,C-010,O-238,doesnt feel right idk,2026-04-24,20,Fraud,No,Ambiguous,Other,Low,Positive,Normal,21,Fraud,No,Frequent Abuser
CMP-338,C-010,O-338,used item returning now,2026-05-04,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,100,Fraud,No,Frequent Abuser
CMP-011,C-011,O-011,Laptop keeps restarting randomly,2026-04-02,10,Legitimate,Yes,Medium issue,Device not working,Medium,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-197,C-011,O-197,monitor blank screen,2026-04-20,6,Legitimate,Yes,Display defect,Screen damage,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-198,C-011,O-198,monitor slightly dim,2026-04-20,14,Fraud,No,Low severity,Screen damage,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-229,C-011,O-229,this doesnt match description properly,2026-04-23,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,100,Fraud,No,Frequent Abuser
CMP-329,C-011,O-329,meh its okay,2026-05-03,19,Fraud,No,Vague complaint,Other,Low,Positive,Normal,47,Fraud,No,Frequent Abuser
CMP-427,C-011,O-559,box had fingerprints on device,2026-05-13,94,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-479,C-011,O-579,meh refund pls,2026-05-18,20,Fraud,No,Vague complaint,Other,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-012,C-012,O-012,Phone overheating while charging,2026-04-02,9,Legitimate,Yes,Medium issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-103,C-012,O-103,laptop not booting at all,2026-04-11,5,Legitimate,Yes,Severe defect,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-104,C-012,O-104,i ordered blue but got black again 😡,2026-04-11,93,Fraud,No,Color contradiction,Other,Low,Neutral,Normal,93,Fraud,No,Color contradiction
CMP-220,C-012,O-220,not worth the price imo,2026-04-22,17,Fraud,No,Low severity,Other,Low,Negative,Normal,33,Fraud,No,Frequent Abuser
CMP-320,C-012,O-320,device is fine but want refund anyway,2026-05-02,20,Fraud,No,Invalid request,Other,Low,Positive,Normal,31,Fraud,No,Frequent Abuser
CMP-013,C-013,O-013,Earbuds disconnect frequently,2026-04-02,8,Legitimate,Yes,Connectivity issue,Other,Medium,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-211,C-013,O-211,laptop fan very loud suddenly,2026-04-22,8,Legitimate,Yes,Hardware issue,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-311,C-013,O-311,device not connecting to wifi sometimes,2026-05-02,6,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-014,C-014,O-014,Tablet hangs sometimes while using,2026-04-02,9,Legitimate,Yes,Performance issue,Performance issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-113,C-014,O-113,keyboard keys falling off,2026-04-12,6,Legitimate,Yes,Hardware defect,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-114,C-014,O-114,box had older keyboard model,2026-04-12,95,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,95,Fraud,No,Switcheroo suspected
CMP-202,C-014,O-202,i think battery is bad drains too fast,2026-04-21,6,Legitimate,Yes,Battery issue,Battery issue,Low,Negative,High,21,Fraud,No,Frequent Abuser
CMP-302,C-014,O-302,screen ghost touch happening randomly,2026-05-01,7,Legitimate,Yes,Touch issue,Screen damage,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-436,C-014,O-615,ok,2026-05-14,22,Fraud,No,Vague complaint,Other,Low,Positive,Normal,47,Fraud,No,Frequent Abuser
CMP-488,C-014,O-695,used already returning now,2026-05-19,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,100,Fraud,No,Frequent Abuser
CMP-015,C-015,O-015,Monitor flickers occasionally,2026-04-02,10,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-147,C-015,O-147,tablet not charging properly,2026-04-15,6,Legitimate,Yes,Charging defect,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-148,C-015,O-148,tablet ok but dont like it,2026-04-15,18,Fraud,No,Change of mind,Other,Low,Negative,Normal,18,Fraud,No,Change of mind
CMP-293,C-015,O-293,keyboard lagging when typing fast,2026-04-30,6,Legitimate,Yes,Performance issue,Performance issue,Low,Negative,High,21,Fraud,No,Frequent Abuser
CMP-393,C-015,O-393,keyboard lagging,2026-05-10,6,Legitimate,Yes,Performance issue,Performance issue,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-410,C-015,O-453,product works but i dont want it anymore,2026-05-11,20,Fraud,No,Change of mind,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-462,C-015,O-789,screen flickering issue persists,2026-05-17,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-016,C-016,O-016,Keyboard has input lag,2026-04-02,9,Legitimate,Yes,Performance issue,Performance issue,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-284,C-016,O-284,device heating near battery area,2026-04-29,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-384,C-016,O-384,device heating issue,2026-05-09,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-445,C-016,O-673,charger heating too much,2026-05-15,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-017,C-017,O-017,Mouse cursor jumping randomly,2026-04-02,8,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-275,C-017,O-275,charger overheating after few minutes,2026-04-28,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-375,C-017,O-375,charger overheating issue,2026-05-08,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-402,C-017,O-407,screen flickering randomly while using apps,2026-05-11,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-454,C-017,O-733,device heating near battery,2026-05-16,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-018,C-018,O-018,Charger gets too hot sometimes,2026-04-02,9,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-181,C-018,O-181,phone not charging at all,2026-04-19,6,Legitimate,Yes,Charging defect,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-182,C-018,O-182,box had broken phone inside,2026-04-19,95,Fraud,No,Switcheroo suspected,Other,High,Negative,Normal,95,Fraud,No,Switcheroo suspected
CMP-266,C-018,O-266,not really what i thought tbh,2026-04-27,20,Fraud,No,Expectation mismatch,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-366,C-018,O-366,not what i expected,2026-05-07,20,Fraud,No,Expectation mismatch,Other,Low,Neutral,Normal,43,Fraud,No,Frequent Abuser
CMP-497,C-018,O-405,idk feels weird,2026-05-20,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-019,C-019,O-019,Smartwatch battery drains fast,2026-04-02,10,Legitimate,Yes,Battery issue,Battery issue,Low,Neutral,High,6,Legitimate,Yes,Valid defect
CMP-131,C-019,O-131,device restarting automatically again and again,2026-04-14,7,Legitimate,Yes,System issue,Device not working,Medium,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-132,C-019,O-132,i expected better quality,2026-04-14,18,Fraud,No,Change of mind,Other,Low,Positive,Normal,18,Fraud,No,Change of mind
CMP-257,C-019,O-257,feels off somehow cant explain,2026-04-26,20,Fraud,No,Ambiguous,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-357,C-019,O-357,box had marks on item,2026-05-06,94,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-419,C-019,O-509,feels cheap compared to price,2026-05-12,18,Fraud,No,Low severity,Other,Low,Neutral,Normal,43,Fraud,No,Frequent Abuser
CMP-471,C-019,O-471,device rebooting randomly,2026-05-18,7,Legitimate,Yes,System issue,Device not working,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-020,C-020,O-020,Phone speaker volume is very low,2026-04-02,8,Legitimate,Yes,Audio issue,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-105,C-020,O-105,mouse stopped working suddenly,2026-04-11,7,Legitimate,Yes,Hardware issue,Device not working,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-106,C-020,O-106,used it for 2 days returning now,2026-04-11,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,85,Fraud,No,Usage abuse
CMP-248,C-020,O-248,used for few hrs now returning,2026-04-25,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,100,Fraud,No,Frequent Abuser
CMP-348,C-020,O-348,looks different irl,2026-05-05,18,Fraud,No,Expectation mismatch,Other,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-021,C-021,O-021,Laptop is a bit slow nothing major though,2026-04-03,15,Fraud,No,Low severity,Performance issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-199,C-021,O-199,device not connecting wifi,2026-04-20,6,Legitimate,Yes,Network issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-200,C-021,O-200,not satisfied with product,2026-04-20,20,Fraud,No,Change of mind,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-239,C-021,O-239,i guess its fine but still refund pls,2026-04-24,19,Fraud,No,Invalid request,Other,Low,Positive,Normal,21,Fraud,No,Frequent Abuser
CMP-339,C-021,O-339,this product not same as shown,2026-05-04,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-022,C-022,O-022,Phone camera quality is average expected better,2026-04-03,14,Fraud,No,Low severity,Other,Low,Positive,Normal,18,Fraud,No,Change of mind
CMP-165,C-022,O-165,mouse buttons not working,2026-04-17,6,Legitimate,Yes,Hardware issue,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-166,C-022,O-166,i dont like this anymore,2026-04-17,18,Fraud,No,Change of mind,Other,Low,Negative,Normal,18,Fraud,No,Change of mind
CMP-230,C-022,O-230,product is fine but i want different one,2026-04-23,18,Fraud,No,Change of mind,Other,Low,Positive,Normal,21,Fraud,No,Frequent Abuser
CMP-330,C-022,O-330,not impressed honestly,2026-05-03,20,Fraud,No,Low severity,Other,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-428,C-022,O-564,used it for few hours now returning,2026-05-13,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,100,Fraud,No,Frequent Abuser
CMP-480,C-022,O-593,idk feels off,2026-05-18,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-023,C-023,O-023,Mouse feels slightly laggy,2026-04-03,13,Fraud,No,Low severity,Performance issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-221,C-023,O-221,device completely dead after charging overnight,2026-04-23,6,Legitimate,Yes,Severe defect,Battery issue,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-321,C-023,O-321,device stuck at logo screen,2026-05-03,6,Legitimate,Yes,System issue,Screen damage,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-024,C-024,O-024,Keyboard keys are hard to press but usable,2026-04-03,15,Fraud,No,Low severity,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-212,C-024,O-212,keyboard typing double letters sometimes,2026-04-22,7,Legitimate,Yes,Input issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-312,C-024,O-312,screen flickering under low brightness,2026-05-02,7,Legitimate,Yes,Display issue,Screen damage,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-025,C-025,O-025,Monitor brightness is low,2026-04-03,14,Fraud,No,Low severity,Screen damage,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-203,C-025,O-203,screen has small flicker sometimes not sure why,2026-04-21,9,Legitimate,Yes,Display issue,Screen damage,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-303,C-025,O-303,battery percentage drops suddenly,2026-05-01,6,Legitimate,Yes,Battery issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-437,C-025,O-621,idk feels weird to use,2026-05-14,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-489,C-025,O-708,not same as description,2026-05-19,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-026,C-026,O-026,Tablet touch is slightly delayed,2026-04-03,15,Fraud,No,Low severity,Performance issue,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-294,C-026,O-294,mouse double clicking issue,2026-04-30,7,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-394,C-026,O-394,mouse double click issue,2026-05-10,7,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-027,C-027,O-027,Earbuds sound is okay but not great,2026-04-03,13,Fraud,No,Low severity,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-115,C-027,O-115,earbuds not connecting properly,2026-04-12,7,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-116,C-027,O-116,earbuds sound not great honestly,2026-04-12,14,Fraud,No,Low severity,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-149,C-027,O-149,charger loose connection issue,2026-04-15,7,Legitimate,Yes,Hardware issue,Battery issue,Medium,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-150,C-027,O-150,chargr burn smel 😡,2026-04-15,5,Legitimate,Yes,Typo valid,Heating issue,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-285,C-027,O-285,audio very low even at max volume,2026-04-29,6,Legitimate,Yes,Audio issue,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-385,C-027,O-385,audio very low,2026-05-09,6,Legitimate,Yes,Audio issue,Other,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-411,C-027,O-460,tablet not charging at all,2026-05-12,6,Legitimate,Yes,Charging defect,Battery issue,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-463,C-027,O-795,keyboard not working correctly,2026-05-17,6,Legitimate,Yes,Hardware issue,Device not working,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-028,C-028,O-028,Charger is slow but working,2026-04-03,14,Fraud,No,Low severity,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-276,C-028,O-276,why is this shade different than black?? 😡,2026-04-28,91,Fraud,No,Ambiguous contradiction,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-376,C-028,O-376,why color looks diff?? 😡,2026-05-08,91,Fraud,No,Ambiguous contradiction,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-446,C-028,O-680,why color looks off?? 😡,2026-05-15,91,Fraud,No,Ambiguous contradiction,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-029,C-029,O-029,Smartwatch UI is laggy,2026-04-03,15,Fraud,No,Low severity,Performance issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-183,C-029,O-183,laptop not turning on,2026-04-19,5,Legitimate,Yes,Severe defect,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-184,C-029,O-184,wrong laptop delivered,2026-04-19,92,Fraud,No,Unverified mismatch,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-267,C-029,O-267,works fine but dont want anymore,2026-04-27,19,Fraud,No,Change of mind,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-367,C-029,O-367,dont like it anymore,2026-05-07,19,Fraud,No,Change of mind,Other,Low,Negative,Normal,43,Fraud,No,Frequent Abuser
CMP-403,C-029,O-412,device overheating even when idle,2026-05-11,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-455,C-029,O-740,audio very low even at max,2026-05-16,6,Legitimate,Yes,Audio issue,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-498,C-029,O-420,expected better,2026-05-20,18,Fraud,No,Expectation mismatch,Other,Low,Positive,Normal,43,Fraud,No,Frequent Abuser
CMP-030,C-030,O-030,Phone heats slightly during gaming,2026-04-03,14,Fraud,No,Low severity,Heating issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-258,C-030,O-258,maybe its fine but refund pls,2026-04-26,19,Fraud,No,Invalid request,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-358,C-030,O-358,used already returning,2026-05-06,85,Fraud,No,Usage abuse,Other,Low,Neutral,Normal,85,Fraud,No,Usage abuse
CMP-031,C-031,O-031,I prefer red color instead of blue,2026-04-04,18,Fraud,No,Change of mind,Other,Low,Neutral,Normal,18,Fraud,No,Change of mind
CMP-133,C-031,O-133,keyboard not typing properly,2026-04-14,6,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-134,C-031,O-134,box had damaged keyboard,2026-04-14,95,Fraud,No,Switcheroo suspected,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-249,C-031,O-249,not same as picture online,2026-04-25,88,Fraud,No,Expectation mismatch,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-349,C-031,O-349,not satisfied,2026-05-05,21,Fraud,No,Vague complaint,Other,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-420,C-031,O-514,not impressed at all,2026-05-12,21,Fraud,No,Vague complaint,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-472,C-031,O-486,screen not responding properly,2026-05-18,6,Legitimate,Yes,Touch issue,Screen damage,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
